class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFVS 58T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 60X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 65,78%,22%,0%,0%,0%,4.78,4.22,56%,44%,0%,0%,0%,4.56,4.22,78%,22%,0%,0%,0%,4.78,4.10,67%,11%,22%,0%,0%,4.44,4.11,100%,0%,0%,0%,0%,5.00,4.25,7.38
AFVS 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 97,19%,26%,33%,7%,15%,3.26,4.22,29%,18%,24%,12%,18%,3.29,4.22,33%,14%,24%,10%,19%,3.33,4.10,48%,19%,7%,22%,4%,3.85,4.11,29%,13%,29%,17%,13%,3.29,4.25,3.68
AFVS 98R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 98R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 112E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 118C,80%,20%,0%,0%,0%,4.80,4.20,60%,40%,0%,0%,0%,4.60,4.18,40%,40%,20%,0%,0%,4.20,4.04,40%,60%,0%,0%,0%,4.40,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,2.80
AFVS 120,63%,25%,13%,0%,0%,4.50,4.20,75%,25%,0%,0%,0%,4.75,4.18,63%,38%,0%,0%,0%,4.63,4.04,63%,13%,0%,13%,13%,4.00,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,11.50
AFVS 121S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 123R,82%,9%,9%,0%,0%,4.73,4.22,70%,20%,10%,0%,0%,4.60,4.22,90%,10%,0%,0%,0%,4.90,4.10,73%,18%,9%,0%,0%,4.64,4.11,100%,0%,0%,0%,0%,5.00,4.25,9.27
AFVS 136S,57%,0%,43%,0%,0%,4.14,4.22,60%,20%,20%,0%,0%,4.40,4.22,57%,0%,43%,0%,0%,4.14,4.10,71%,0%,14%,14%,0%,4.29,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,3.67
AFVS 148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 149H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
