class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
E-PSCI 302 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 302 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-PSCI 303 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 256R,80%,20%,0%,0%,0%,4.80,4.26,100%,0%,0%,0%,0%,5.00,4.25,100%,0%,0%,0%,0%,5.00,4.10,80%,20%,0%,0%,0%,4.80,4.11,100%,0%,0%,0%,0%,5.00,4.22,7.75
EABS 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EABS 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 111,90%,10%,0%,0%,0%,4.90,4.18,90%,10%,0%,0%,0%,4.90,4.19,80%,20%,0%,0%,0%,4.80,4.05,89%,11%,0%,0%,0%,4.89,4.08,89%,0%,11%,0%,0%,4.78,4.22,3.63
EAFM 151,67%,25%,8%,0%,0%,4.58,4.17,67%,33%,0%,0%,0%,4.67,4.15,67%,17%,17%,0%,0%,4.50,4.00,83%,0%,17%,0%,0%,4.67,3.95,67%,25%,0%,8%,0%,4.50,4.10,5.83
EAFM 202,56%,22%,22%,0%,0%,4.33,4.17,78%,22%,0%,0%,0%,4.78,4.15,56%,33%,0%,11%,0%,4.33,4.00,78%,22%,0%,0%,0%,4.78,3.95,80%,20%,0%,0%,0%,4.80,4.10,9.00
EAFM 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFM 300 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 90R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 90R 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 90R 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 97AB,57%,40%,3%,0%,0%,4.53,4.22,40%,43%,17%,0%,0%,4.23,4.22,53%,33%,13%,0%,0%,4.40,4.10,57%,27%,17%,0%,0%,4.40,4.11,63%,20%,17%,0%,0%,4.47,4.25,4.66
EASTD 98K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 99B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 140,100%,0%,0%,0%,0%,5.00,4.18,100%,0%,0%,0%,0%,5.00,4.19,100%,0%,0%,0%,0%,5.00,4.05,86%,14%,0%,0%,0%,4.86,4.08,100%,0%,0%,0%,0%,5.00,4.22,5.00
EASTD 143A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 143B,73%,9%,18%,0%,0%,4.55,4.22,80%,10%,0%,10%,0%,4.60,4.22,88%,0%,0%,13%,0%,4.63,4.10,63%,0%,25%,0%,13%,4.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,4.00
EASTD 153,78%,22%,0%,0%,0%,4.78,4.22,56%,33%,11%,0%,0%,4.44,4.22,78%,22%,0%,0%,0%,4.78,4.10,67%,11%,22%,0%,0%,4.44,4.11,50%,50%,0%,0%,0%,4.50,4.25,3.89
EASTD 170,66%,27%,7%,0%,0%,4.59,4.18,57%,34%,5%,5%,0%,4.43,4.19,38%,40%,14%,7%,0%,4.10,4.05,29%,45%,21%,5%,0%,3.98,4.08,64%,24%,5%,5%,2%,4.43,4.22,4.44
EASTD 196,62%,23%,8%,8%,0%,4.38,4.18,62%,31%,0%,8%,0%,4.46,4.19,54%,31%,8%,0%,8%,4.23,4.05,67%,17%,8%,8%,0%,4.42,4.08,75%,25%,0%,0%,0%,4.75,4.22,5.77
EASTD 199,43%,46%,7%,4%,0%,4.29,4.17,64%,14%,18%,4%,0%,4.39,4.16,36%,46%,11%,7%,0%,4.11,4.02,61%,21%,18%,0%,0%,4.43,4.03,46%,36%,14%,4%,0%,4.25,4.17,4.12
EASTD 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 271,60%,40%,0%,0%,0%,4.60,4.22,60%,40%,0%,0%,0%,4.60,4.22,60%,40%,0%,0%,0%,4.60,4.10,100%,0%,0%,0%,0%,5.00,4.11,50%,50%,0%,0%,0%,4.50,4.25,7.60
EASTD 300 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 300 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTD 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 10A,28%,32%,23%,13%,4%,3.68,4.22,28%,29%,26%,13%,4%,3.63,4.22,21%,23%,30%,18%,8%,3.31,4.10,36%,36%,18%,8%,1%,3.99,4.11,53%,25%,16%,7%,0%,4.24,4.25,4.70
ECON 10A,28%,32%,23%,13%,4%,3.68,4.22,28%,29%,26%,13%,4%,3.63,4.22,21%,23%,30%,18%,8%,3.31,4.10,36%,36%,18%,8%,1%,3.99,4.11,53%,25%,16%,7%,0%,4.24,4.25,4.70
ECON 10B,35%,39%,21%,4%,0%,4.04,4.22,37%,32%,27%,4%,1%,3.99,4.22,28%,38%,24%,9%,2%,3.81,4.10,41%,27%,23%,8%,1%,3.99,4.11,46%,22%,21%,8%,3%,4.00,4.25,4.84
ECON 10B,35%,39%,21%,4%,0%,4.04,4.22,37%,32%,27%,4%,1%,3.99,4.22,28%,38%,24%,9%,2%,3.81,4.10,41%,27%,23%,8%,1%,3.99,4.11,46%,22%,21%,8%,3%,4.00,4.25,4.84
ECON 50,46%,33%,16%,4%,0%,4.21,4.22,50%,33%,13%,4%,1%,4.27,4.22,36%,29%,23%,8%,4%,3.86,4.10,38%,25%,24%,10%,4%,3.84,4.11,47%,28%,14%,9%,2%,4.10,4.25,4.16
ECON 70,30%,31%,28%,10%,1%,3.79,4.20,26%,34%,26%,13%,1%,3.72,4.18,14%,28%,33%,19%,6%,3.25,4.04,16%,27%,31%,20%,6%,3.28,4.07,21%,22%,28%,22%,7%,3.27,4.20,4.91
ECON 910R,100%,0%,0%,0%,0%,5.00,4.23,100%,0%,0%,0%,0%,5.00,4.24,100%,0%,0%,0%,0%,5.00,4.09,100%,0%,0%,0%,0%,5.00,4.13,100%,0%,0%,0%,0%,5.00,4.24,5.00
ECON 910R,100%,0%,0%,0%,0%,5.00,4.23,100%,0%,0%,0%,0%,5.00,4.24,100%,0%,0%,0%,0%,5.00,4.09,100%,0%,0%,0%,0%,5.00,4.13,100%,0%,0%,0%,0%,5.00,4.24,5.00
ECON 970,40%,40%,0%,0%,20%,3.80,4.22,60%,20%,0%,20%,0%,4.20,4.22,20%,40%,20%,20%,0%,3.60,4.10,80%,0%,0%,20%,0%,4.40,4.11,67%,0%,0%,0%,33%,3.67,4.25,6.40
ECON 970,40%,40%,0%,0%,20%,3.80,4.22,60%,20%,0%,20%,0%,4.20,4.22,20%,40%,20%,20%,0%,3.60,4.10,80%,0%,0%,20%,0%,4.40,4.11,67%,0%,0%,0%,33%,3.67,4.25,6.40
ECON 975A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 975A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 975B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 975B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 980B,88%,13%,0%,0%,0%,4.88,4.22,63%,38%,0%,0%,0%,4.63,4.22,88%,13%,0%,0%,0%,4.88,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,5.75
ECON 980KK,50%,17%,33%,0%,0%,4.17,4.22,20%,40%,40%,0%,0%,3.80,4.22,25%,50%,25%,0%,0%,4.00,4.10,50%,0%,50%,0%,0%,4.00,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,3.40
ECON 980MM,80%,20%,0%,0%,0%,4.80,4.18,80%,13%,7%,0%,0%,4.73,4.19,86%,14%,0%,0%,0%,4.86,4.05,100%,0%,0%,0%,0%,5.00,4.08,100%,0%,0%,0%,0%,5.00,4.22,3.33
ECON 980W,100%,0%,0%,0%,0%,5.00,4.22,60%,40%,0%,0%,0%,4.60,4.22,40%,60%,0%,0%,0%,4.40,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,6.20
ECON 980X,42%,42%,17%,0%,0%,4.25,4.20,55%,45%,0%,0%,0%,4.55,4.18,45%,36%,9%,9%,0%,4.18,4.04,60%,10%,20%,10%,0%,4.20,4.07,100%,0%,0%,0%,0%,5.00,4.20,5.36
ECON 980Z,75%,17%,8%,0%,0%,4.67,4.22,58%,42%,0%,0%,0%,4.58,4.22,33%,42%,8%,17%,0%,3.92,4.10,25%,33%,17%,17%,8%,3.50,4.11,0%,100%,0%,0%,0%,4.00,4.25,5.17
ECON 985A,60%,40%,0%,0%,0%,4.60,4.20,78%,22%,0%,0%,0%,4.78,4.18,67%,22%,11%,0%,0%,4.56,4.04,78%,22%,0%,0%,0%,4.78,4.07,100%,0%,0%,0%,0%,5.00,4.20,dary Field or Language Citation Requirement 0
ECON 985B,67%,33%,0%,0%,0%,4.67,4.22,75%,25%,0%,0%,0%,4.75,4.22,57%,43%,0%,0%,0%,4.57,4.10,67%,22%,11%,0%,0%,4.56,4.11,63%,25%,13%,0%,0%,4.50,4.25,dary Field or Language Citation Requirement 0
ECON 990A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 990B,80%,20%,0%,0%,0%,4.80,4.20,100%,0%,0%,0%,0%,5.00,4.18,N/A,N/A,N/A,N/A,N/A,NRP,4.04,100%,0%,0%,0%,0%,5.00,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,13.00
ECON 1010A,21%,37%,30%,9%,4%,3.63,4.22,28%,39%,16%,16%,2%,3.75,4.22,32%,25%,25%,14%,5%,3.63,4.10,24%,28%,30%,13%,4%,3.54,4.11,48%,33%,11%,2%,7%,4.13,4.25,7.80
ECON 1010A,21%,37%,30%,9%,4%,3.63,4.22,28%,39%,16%,16%,2%,3.75,4.22,32%,25%,25%,14%,5%,3.63,4.10,24%,28%,30%,13%,4%,3.54,4.11,48%,33%,11%,2%,7%,4.13,4.25,7.80
ECON 1010B,18%,35%,21%,19%,7%,3.39,4.22,26%,33%,24%,12%,4%,3.65,4.22,18%,23%,24%,20%,15%,3.08,4.10,13%,13%,29%,18%,27%,2.69,4.11,17%,28%,26%,19%,10%,3.23,4.25,5.61
ECON 1010B,18%,35%,21%,19%,7%,3.39,4.22,26%,33%,24%,12%,4%,3.65,4.22,18%,23%,24%,20%,15%,3.08,4.10,13%,13%,29%,18%,27%,2.69,4.11,17%,28%,26%,19%,10%,3.23,4.25,5.61
ECON 1011A,9%,37%,26%,12%,15%,3.12,4.20,22%,37%,23%,15%,3%,3.58,4.18,8%,14%,33%,31%,14%,2.70,4.04,2%,6%,41%,31%,20%,2.38,4.07,44%,27%,11%,14%,5%,3.91,4.20,10.94
ECON 1011B,44%,30%,19%,7%,0%,4.11,4.22,31%,40%,21%,7%,0%,3.96,4.22,41%,35%,22%,3%,0%,4.13,4.10,28%,19%,34%,16%,3%,3.53,4.11,89%,8%,3%,0%,0%,4.85,4.25,7.10
ECON 1015,100%,0%,0%,0%,0%,5.00,4.18,92%,0%,8%,0%,0%,4.83,4.19,82%,9%,9%,0%,0%,4.73,4.05,50%,10%,40%,0%,0%,4.10,4.08,100%,0%,0%,0%,0%,5.00,4.22,3.75
ECON 1017,45%,39%,12%,4%,0%,4.26,4.20,36%,37%,20%,6%,1%,4.01,4.18,38%,31%,25%,7%,0%,3.99,4.04,34%,25%,25%,13%,3%,3.75,4.07,22%,25%,27%,17%,8%,3.37,4.20,2.46
ECON 1021,17%,23%,20%,19%,21%,2.94,4.20,16%,25%,31%,15%,13%,3.14,4.18,15%,9%,16%,16%,44%,2.34,4.04,15%,12%,12%,20%,41%,2.40,4.07,56%,16%,4%,8%,16%,3.88,4.20,3.14
ECON 1042,35%,36%,18%,5%,6%,3.89,4.22,29%,27%,31%,10%,3%,3.69,4.22,22%,27%,24%,22%,5%,3.40,4.10,27%,33%,32%,8%,0%,3.79,4.11,80%,20%,0%,0%,0%,4.80,4.25,4.61
ECON 1050,25%,58%,8%,8%,0%,4.00,4.22,50%,25%,0%,25%,0%,4.00,4.22,25%,33%,42%,0%,0%,3.83,4.10,67%,17%,17%,0%,0%,4.50,4.11,73%,0%,27%,0%,0%,4.45,4.25,4.09
ECON 1057,32%,45%,18%,0%,5%,4.00,4.20,41%,36%,14%,9%,0%,4.09,4.18,24%,52%,14%,5%,5%,3.86,4.04,32%,36%,18%,14%,0%,3.86,4.07,44%,44%,11%,0%,0%,4.33,4.20,6.71
ECON 1071,50%,50%,0%,0%,0%,4.50,4.20,25%,33%,33%,8%,0%,3.75,4.18,58%,17%,25%,0%,0%,4.33,4.04,58%,8%,33%,0%,0%,4.25,4.07,71%,29%,0%,0%,0%,4.71,4.20,3.85
ECON 1078,80%,20%,0%,0%,0%,4.80,4.22,60%,40%,0%,0%,0%,4.60,4.22,40%,40%,0%,0%,20%,3.80,4.10,40%,60%,0%,0%,0%,4.40,4.11,50%,25%,25%,0%,0%,4.25,4.25,4.00
ECON 1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 1123,39%,32%,25%,5%,0%,4.04,4.22,37%,36%,19%,6%,2%,4.02,4.22,33%,39%,15%,11%,2%,3.91,4.10,34%,36%,19%,8%,2%,3.92,4.11,48%,30%,18%,2%,3%,4.19,4.25,8.14
ECON 1123,39%,32%,25%,5%,0%,4.04,4.22,37%,36%,19%,6%,2%,4.02,4.22,33%,39%,15%,11%,2%,3.91,4.10,34%,36%,19%,8%,2%,3.92,4.11,48%,30%,18%,2%,3%,4.19,4.25,8.14
ECON 1126,13%,23%,40%,20%,3%,3.23,4.20,15%,32%,30%,17%,7%,3.32,4.18,10%,29%,41%,19%,2%,3.27,4.04,16%,21%,38%,22%,3%,3.22,4.07,16%,32%,28%,14%,10%,3.30,4.20,7.00
ECON 1342,34%,41%,23%,3%,0%,4.05,4.17,50%,26%,19%,4%,0%,4.22,4.15,53%,29%,14%,3%,1%,4.30,4.00,37%,29%,18%,14%,3%,3.84,3.95,41%,20%,20%,14%,5%,3.78,4.10,4.18
ECON 1346,57%,29%,14%,0%,0%,4.43,4.20,57%,29%,14%,0%,0%,4.43,4.18,57%,29%,0%,7%,7%,4.21,4.04,57%,29%,7%,7%,0%,4.36,4.07,43%,43%,14%,0%,0%,4.29,4.20,4.79
ECON 1420,39%,34%,23%,4%,0%,4.09,4.20,32%,31%,24%,13%,0%,3.82,4.18,18%,33%,35%,12%,3%,3.53,4.04,26%,35%,24%,13%,3%,3.68,4.07,28%,29%,26%,14%,3%,3.67,4.20,4.33
ECON 1425,88%,12%,0%,0%,0%,4.88,4.22,63%,31%,6%,0%,0%,4.56,4.22,73%,7%,20%,0%,0%,4.53,4.10,75%,25%,0%,0%,0%,4.75,4.11,100%,0%,0%,0%,0%,5.00,4.25,5.44
ECON 1432,50%,43%,7%,0%,0%,4.43,4.20,50%,29%,21%,0%,0%,4.29,4.18,71%,29%,0%,0%,0%,4.71,4.04,93%,7%,0%,0%,0%,4.93,4.07,46%,31%,23%,0%,0%,4.23,4.20,3.71
ECON 1436,46%,39%,10%,5%,0%,4.27,4.17,53%,29%,13%,5%,0%,4.29,4.16,26%,28%,31%,13%,3%,3.62,4.02,21%,26%,28%,15%,10%,3.31,4.03,31%,21%,21%,21%,7%,3.48,4.17,4.65
ECON 1450,88%,13%,0%,0%,0%,4.88,4.22,63%,38%,0%,0%,0%,4.63,4.22,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,86%,0%,14%,0%,0%,4.71,4.25,7.43
ECON 1499,71%,21%,0%,0%,7%,4.50,4.20,50%,36%,7%,7%,0%,4.29,4.18,54%,15%,23%,0%,8%,4.08,4.04,54%,23%,15%,0%,8%,4.15,4.07,75%,25%,0%,0%,0%,4.75,4.20,5.15
ECON 1535,45%,36%,14%,5%,0%,4.23,4.20,33%,33%,33%,0%,0%,4.00,4.18,29%,19%,48%,0%,5%,3.67,4.04,24%,19%,24%,24%,10%,3.24,4.07,33%,33%,29%,5%,0%,3.95,4.20,5.41
ECON 1545,40%,36%,20%,4%,0%,4.12,4.17,42%,33%,21%,0%,4%,4.08,4.16,48%,32%,16%,4%,0%,4.24,4.02,40%,32%,16%,12%,0%,4.00,4.03,46%,29%,17%,4%,4%,4.08,4.17,4.78
ECON 1644,62%,38%,0%,0%,0%,4.62,4.23,46%,31%,23%,0%,0%,4.23,4.24,46%,31%,23%,0%,0%,4.23,4.09,62%,23%,8%,0%,8%,4.31,4.13,60%,40%,0%,0%,0%,4.60,4.24,4.45
ECON 1661,17%,29%,35%,13%,6%,3.38,4.22,27%,29%,31%,10%,2%,3.71,4.22,14%,35%,31%,16%,4%,3.39,4.10,23%,31%,31%,6%,8%,3.54,4.11,19%,28%,34%,13%,6%,3.41,4.25,3.75
ECON 1723,23%,27%,38%,12%,0%,3.62,4.22,25%,21%,33%,21%,0%,3.50,4.22,17%,21%,38%,17%,8%,3.21,4.10,18%,9%,23%,45%,5%,2.91,4.11,28%,11%,44%,11%,6%,3.44,4.25,6.00
ECON 1745,36%,41%,19%,3%,1%,4.08,4.22,34%,39%,19%,7%,1%,4.00,4.22,35%,37%,19%,7%,2%,3.97,4.10,24%,23%,27%,17%,10%,3.34,4.11,54%,19%,23%,4%,0%,4.23,4.25,4.02
ECON 1746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 1759,62%,24%,9%,6%,0%,4.41,4.22,74%,9%,15%,3%,0%,4.53,4.22,36%,30%,18%,15%,0%,3.88,4.10,15%,12%,21%,18%,33%,2.58,4.11,21%,21%,21%,21%,14%,3.14,4.25,5.69
ECON 1818,33%,67%,0%,0%,0%,4.33,4.22,33%,0%,67%,0%,0%,3.67,4.22,33%,33%,33%,0%,0%,4.00,4.10,33%,0%,67%,0%,0%,3.67,4.11,33%,33%,33%,0%,0%,4.00,4.25,2.67
ECON 1936,86%,0%,0%,14%,0%,4.57,4.17,86%,0%,14%,0%,0%,4.71,4.16,33%,50%,0%,17%,0%,4.00,4.02,83%,0%,0%,17%,0%,4.50,4.03,83%,0%,0%,17%,0%,4.50,4.17,5.43
ECON 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECON 2010A,21%,25%,33%,17%,4%,3.42,4.20,8%,25%,42%,25%,0%,3.17,4.18,13%,46%,25%,13%,4%,3.50,4.04,38%,33%,21%,8%,0%,4.00,4.07,21%,38%,33%,8%,0%,3.71,4.20,13.25
ECON 2010B,13%,54%,33%,0%,0%,3.79,4.22,25%,58%,17%,0%,0%,4.08,4.22,33%,50%,17%,0%,0%,4.17,4.10,21%,42%,33%,4%,0%,3.79,4.11,9%,48%,39%,0%,4%,3.57,4.25,7.33
ECON 2010C,38%,54%,4%,4%,0%,4.27,4.20,32%,56%,8%,4%,0%,4.16,4.18,12%,38%,31%,15%,4%,3.38,4.04,60%,32%,8%,0%,0%,4.52,4.07,88%,8%,4%,0%,0%,4.85,4.20,15.40
